Contractor,NumProjects,TotalCost,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),100,7509665430.74,293.09,57784287.18,0.00,High Risk
"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",43,5571167253.77,344.63,21131666.41,0.00,High Risk
QM BUILDERS,74,5469540114.87,233.03,2912517.20,0.00,High Risk
ST. TIMOTHY CONSTRUCTION CORPORATION,77,4781019339.35,275.57,64637489.11,0.00,High Risk
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,74,4665741721.01,289.26,59801925.17,0.00,High Risk
HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,49,3684007914.48,266.33,87973357.81,0.00,High Risk
"L.R. TIQUI BUILDERS, INC.",41,3516058642.15,329.51,36279749.11,0.00,High Risk
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,57,3344086581.02,288.49,960727613.08,0.00,High Risk
ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,35,3124038144.17,253.49,41683537.07,0.00,High Risk
"M. MONTESCLAROS ENTERPRISES, INC.",28,3048143528.58,477.93,73121350.67,0.00,High Risk
"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",46,2937694807.70,245.63,196937958.02,0.00,High Risk
MG SAMIDAN CONSTRUCTION,32,2831491351.49,230.69,2557448.69,0.00,High Risk
STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),37,2817068077.87,262.81,56999181.49,0.00,High Risk
BICOL GOLDROCK CONSTRUCTION CORPORATION,39,2803568829.10,269.21,10375390.61,0.00,High Risk
GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,35,2773389887.49,287.49,9678954.23,0.00,High Risk
